data_source,nhanes_source,filter,variables,var_description,var_type,lower_range_female,upper_range_female,lower_range_male,upper_range_male,category,category_before_data_formation,keep,na_value,activ_filter
NHANES,demographics,age,RIDAGEYR,age,continuous,18,85,18,85,,,TRUE,FALSE,TRUE
NHANES,examination_body_measures,bmi,BMXBMI,body_mass_index,continuous,17,30,17,30,,,TRUE,TRUE,TRUE
NHANES,examination_body_measures,waist_to_height_ratio,BMXWTHR,waist_to_height_ratio,continuous,0.4,0.55,0.4,0.55,,,TRUE,TRUE,TRUE
NHANES,questionnaire_health_status,cold,HSQ500,cold_last_30_days,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_health_status,stomach,HSQ510,stomach_illness_last_30_days,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_health_status,flu,HSQ520,flu_last_30_days,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_b_core_antibody_&_surface_antigen,hepatitis_b,LBDHBG,hepatitis_b_surface_antigen,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_c_confirmed_antibody,hepatitis_c,LBDHCI,hepatitis_c_antibody_confirmed,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_b_core_antibody_&_surface_antigen,hepatitis_c,LBDHCV,hepatitis_c_antibody_confirmed,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_b_core_antibody_&_surface_antigen,hepatitis_c,LBXHCR,hepatitis_c_rna_hcvrna,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_b_core_antibody_&_surface_antigen,hepatitis_d,LBDHD,hepatitis_d_antihdv,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_e,hepatitis_e,LBDHEM,hepatitis_e_igm_antihev,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hiv_antibody_test,hiv,LBDHI,hiv_antibody_test_result,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hiv_antibody_test,hiv,LBXHIV1,hiv1,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hiv_antibody_test,hiv,LBXHIV2,hiv2,categorical,,,,,1,1,FALSE,TRUE,TRUE
